[transformers] The following generation flags are not valid and may be ignored: ['cache_implementation']. Set `TRANSFORMERS_VERBOSITY=info` for more details.
Loading weights: 100%|██████████| 340/340 [00:02<00:00, 153.80it/s]
  0%|          | 10/14955 [00:02<1:04:32,  3.86it/s]
{'loss': '2.372', 'grad_norm': '13.61', 'learning_rate': '4.539e-05', 'epoch': '0.2769'}
{'loss': '1.852', 'grad_norm': '11.52', 'learning_rate': '4.536e-05', 'epoch': '0.2789'}
{'loss': '2.186', 'grad_norm': '30.79', 'learning_rate': '4.532e-05', 'epoch': '0.2809'}
{'loss': '2.337', 'grad_norm': '9.224', 'learning_rate': '4.529e-05', 'epoch': '0.2829'}
{'loss': '2.13', 'grad_norm': '9.191', 'learning_rate': '4.526e-05', 'epoch': '0.2849'}
{'loss': '2.065', 'grad_norm': '12.74', 'learning_rate': '4.522e-05', 'epoch': '0.2869'}
{'loss': '1.971', 'grad_norm': '12.15', 'learning_rate': '4.519e-05', 'epoch': '0.2889'}
{'loss': '2.338', 'grad_norm': '17.94', 'learning_rate': '4.516e-05', 'epoch': '0.2909'}
{'loss': '2.428', 'grad_norm': '16.89', 'learning_rate': '4.512e-05', 'epoch': '0.2929'}
{'loss': '2.485', 'grad_norm': '29.47', 'learning_rate': '4.509e-05', 'epoch': '0.2949'}
{'loss': '2.015', 'grad_norm': '9.753', 'learning_rate': '4.506e-05', 'epoch': '0.2969'}
{'loss': '2.035', 'grad_norm': '12.76', 'learning_rate': '4.502e-05', 'epoch': '0.2989'}
{'loss': '2.472', 'grad_norm': '13.86', 'learning_rate': '4.499e-05', 'epoch': '0.3009'}
{'loss': '2.256', 'grad_norm': '11.37', 'learning_rate': '4.495e-05', 'epoch': '0.3029'}
{'loss': '2.192', 'grad_norm': '9.357', 'learning_rate': '4.492e-05', 'epoch': '0.3049'}
{'loss': '2.076', 'grad_norm': '9.849', 'learning_rate': '4.489e-05', 'epoch': '0.307'}
{'loss': '2.089', 'grad_norm': '24.81', 'learning_rate': '4.485e-05', 'epoch': '0.309'}
{'loss': '2.511', 'grad_norm': '16.66', 'learning_rate': '4.482e-05', 'epoch': '0.311'}
{'loss': '2.048', 'grad_norm': '16.29', 'learning_rate': '4.479e-05', 'epoch': '0.313'}
{'loss': '2.273', 'grad_norm': '13.07', 'learning_rate': '4.475e-05', 'epoch': '0.315'}
{'loss': '2.007', 'grad_norm': '9.295', 'learning_rate': '4.472e-05', 'epoch': '0.317'}
{'loss': '2.31', 'grad_norm': '16.86', 'learning_rate': '4.469e-05', 'epoch': '0.319'}
{'loss': '2.256', 'grad_norm': '11.64', 'learning_rate': '4.465e-05', 'epoch': '0.321'}
{'loss': '2.29', 'grad_norm': '17.01', 'learning_rate': '4.462e-05', 'epoch': '0.323'}
{'loss': '1.917', 'grad_norm': '7.76', 'learning_rate': '4.459e-05', 'epoch': '0.325'}
{'loss': '2.21', 'grad_norm': '19.81', 'learning_rate': '4.455e-05', 'epoch': '0.327'}
{'loss': '2.21', 'grad_norm': '8.745', 'learning_rate': '4.452e-05', 'epoch': '0.329'}
{'loss': '2.2', 'grad_norm': '16.29', 'learning_rate': '4.449e-05', 'epoch': '0.331'}
{'loss': '2.291', 'grad_norm': '25.86', 'learning_rate': '4.445e-05', 'epoch': '0.333'}
{'loss': '2.048', 'grad_norm': '21.96', 'learning_rate': '4.442e-05', 'epoch': '0.335'}
{'loss': '2.326', 'grad_norm': '9.354', 'learning_rate': '4.439e-05', 'epoch': '0.337'}
{'loss': '2.073', 'grad_norm': '8.426', 'learning_rate': '4.435e-05', 'epoch': '0.3391'}
{'loss': '2.227', 'grad_norm': '11.59', 'learning_rate': '4.432e-05', 'epoch': '0.3411'}
{'loss': '2.067', 'grad_norm': '23.3', 'learning_rate': '4.429e-05', 'epoch': '0.3431'}
{'loss': '2.273', 'grad_norm': '9.037', 'learning_rate': '4.425e-05', 'epoch': '0.3451'}
{'loss': '2.231', 'grad_norm': '8.139', 'learning_rate': '4.422e-05', 'epoch': '0.3471'}
{'loss': '2.233', 'grad_norm': '11.03', 'learning_rate': '4.419e-05', 'epoch': '0.3491'}
{'loss': '1.959', 'grad_norm': '8.617', 'learning_rate': '4.415e-05', 'epoch': '0.3511'}
{'loss': '2.354', 'grad_norm': '12.99', 'learning_rate': '4.412e-05', 'epoch': '0.3531'}
{'loss': '2.269', 'grad_norm': '8.335', 'learning_rate': '4.409e-05', 'epoch': '0.3551'}
{'loss': '2.3', 'grad_norm': '10.07', 'learning_rate': '4.405e-05', 'epoch': '0.3571'}
{'loss': '2.025', 'grad_norm': '8.683', 'learning_rate': '4.402e-05', 'epoch': '0.3591'}
{'loss': '1.934', 'grad_norm': '30.46', 'learning_rate': '4.399e-05', 'epoch': '0.3611'}
{'loss': '2.372', 'grad_norm': '17.26', 'learning_rate': '4.395e-05', 'epoch': '0.3631'}
{'loss': '1.932', 'grad_norm': '11.52', 'learning_rate': '4.392e-05', 'epoch': '0.3651'}
{'loss': '2.103', 'grad_norm': '8.984', 'learning_rate': '4.388e-05', 'epoch': '0.3671'}
{'loss': '2.173', 'grad_norm': '8.089', 'learning_rate': '4.385e-05', 'epoch': '0.3691'}
{'loss': '2.038', 'grad_norm': '11.29', 'learning_rate': '4.382e-05', 'epoch': '0.3712'}
{'loss': '2.588', 'grad_norm': '7.59', 'learning_rate': '4.378e-05', 'epoch': '0.3732'}
{'loss': '2.123', 'grad_norm': '14.34', 'learning_rate': '4.375e-05', 'epoch': '0.3752'}
{'loss': '1.88', 'grad_norm': '13.76', 'learning_rate': '4.372e-05', 'epoch': '0.3772'}
{'loss': '1.96', 'grad_norm': '11.27', 'learning_rate': '4.368e-05', 'epoch': '0.3792'}
{'loss': '2.075', 'grad_norm': '12.82', 'learning_rate': '4.365e-05', 'epoch': '0.3812'}
{'loss': '2.087', 'grad_norm': '41.71', 'learning_rate': '4.362e-05', 'epoch': '0.3832'}
{'loss': '2.308', 'grad_norm': '16.24', 'learning_rate': '4.358e-05', 'epoch': '0.3852'}
{'loss': '2.167', 'grad_norm': '9.879', 'learning_rate': '4.355e-05', 'epoch': '0.3872'}
{'loss': '2.076', 'grad_norm': '14.17', 'learning_rate': '4.352e-05', 'epoch': '0.3892'}
